country;iso3;year;sex;age_group;pop;type;expected.mean;acm.mean;excess.mean
Angola;AGO;2021;Male;75-84;88573;predicted;8552,473631;8860,898184;308,3578923
Angola;AGO;2021;Male;>85;11990;predicted;2505,017517;2828,252652;323,408531
Albania;ALB;2020;Female;0-24;437240;reported;220,1903779;183,2844292;-36,90594873
Albania;ALB;2020;Female;25-34;213836;reported;70,76440448;71,93421147;1,169806987
Albania;ALB;2020;Female;35-44;165218;reported;116,1676152;132,043621;15,87600589
Albania;ALB;2020;Female;45-54;185957;reported;319,4486666;352,7732562;33,32458966
Albania;ALB;2020;Female;55-64;198168;reported;765,6143697;947,9549511;182,3405814
Albania;ALB;2020;Female;65-74;134670;reported;1420,232141;1908,720104;488,487963
Albania;ALB;2020;Female;75-84;77461;reported;3738,010862;4546,636325;808,6254629
Albania;ALB;2020;Female;>85;18995;reported;3356,176455;3956,381631;600,2051761
Albania;ALB;2020;Male;0-24;451337;reported;291,5982357;274,9266438;-16,67159186
Albania;ALB;2020;Male;25-34;226347;reported;163,6001202;148,7954237;-14,80469646
Albania;ALB;2020;Male;35-44;169845;reported;219,6446393;300,5470479;80,90240858
Albania;ALB;2020;Male;45-54;174109;reported;546,0539092;698,6487114;152,5948022
Albania;ALB;2020;Male;55-64;191195;reported;1536,712298;2107,770936;571,0586382
Albania;ALB;2020;Male;65-74;130687;reported;2501,51841;3396,674341;895,1559318
Albania;ALB;2020;Male;75-84;73443;reported;4220,002225;5598,058292;1378,056067
Albania;ALB;2020;Male;>85;15590;reported;2103,566665;2979,850075;876,2834095
Albania;ALB;2021;Female;0-24;425530;reported;226,4291789;184,4402924;-42,05138651
Albania;ALB;2021;Female;25-34;217290;reported;66,57855847;83,19861016;16,55755168
Albania;ALB;2021;Female;35-44;165445;reported;116,0542616;143,3421838;27,22542216
Albania;ALB;2021;Female;45-54;183225;reported;303,8876937;439,0480873;135,0978937
Albania;ALB;2021;Female;55-64;198835;reported;778,7696396;1100,627397;321,7952574
Albania;ALB;2021;Female;65-74;140024;reported;1413,057725;2360,635264;947,5150394
Albania;ALB;2021;Female;75-84;77710;reported;3724,648372;4899,696463;1174,985591
Albania;ALB;2021;Female;>85;19191;reported;3349,097877;4445,612482;1096,452105
Albania;ALB;2021;Male;0-24;438382;reported;294,5653113;277,6628315;-16,96497987
Albania;ALB;2021;Male;25-34;226114;reported;166,1643044;119,2847543;-46,94205012
Albania;ALB;2021;Male;35-44;173666;reported;221,0759974;312,7465828;91,60808533
Albania;ALB;2021;Male;45-54;171802;reported;525,5812644;819,9573868;294,3136224
Albania;ALB;2021;Male;55-64;190984;reported;1521,233848;2301,494083;780,1977357
Albania;ALB;2021;Male;65-74;134594;reported;2542,060286;3964,463894;1422,341107
Albania;ALB;2021;Male;75-84;73191;reported;4142,954925;5868,007998;1724,990573
Albania;ALB;2021;Male;>85;15995;reported;2100,699719;3259,781689;1159,019471
Andorra;AND;2020;Female;0-24;9044;reported;2,1997787;0,00110166;-2,19867704
Andorra;AND;2020;Female;25-34;4697;reported;0,02645913;0,00036722;-0,02609191
Andorra;AND;2020;Female;35-44;6457;reported;0,034300064;7,344398863;7,310098799
Andorra;AND;2020;Female;45-54;6898;reported;12,9281562;9,180498579;-3,747657622
Andorra;AND;2020;Female;55-64;5284;reported;15,91094045;36,72199431;20,81105386
Andorra;AND;2020;Female;65-74;3051;reported;36,03108184;40,39419375;4,363111906
Andorra;AND;2020;Female;75-84;1774;reported;74,09168049;58,7551909;-15,33648959
Andorra;AND;2020;Female;>85;806;reported;134,2864528;148,724077;14,43762414
Andorra;AND;2020;Male;0-24;9778;reported;2,099012182;9,180682163;7,081669982
Andorra;AND;2020;Male;25-34;5124;reported;0,02645913;0,00036722;-0,02609191
Andorra;AND;2020;Male;35-44;6463;reported;2,21467251;18,36099716;16,14632465
Andorra;AND;2020;Male;45-54;7236;reported;16,66683067;27,54149574;10,87466507
Andorra;AND;2020;Male;55-64;5688;reported;39,7450222;69,7717892;30,026767
Andorra;AND;2020;Male;65-74;3257;reported;69,34816451;112,0020827;42,65391815
Andorra;AND;2020;Male;75-84;1531;reported;95,05413237;102,8215841;7,767451714
Andorra;AND;2020;Male;>85;492;reported;101,3152699;132,1991795;30,88390967
Andorra;AND;2021;Female;0-24;9091;reported;2,349465378;2,349465378;0
Andorra;AND;2021;Female;25-34;4753;reported;0,027112558;0,030912828;0,003800269
Andorra;AND;2021;Female;35-44;6353;reported;0,034580461;0,040629219;0,006048758
Andorra;AND;2021;Female;45-54;7016;reported;13,65262504;15,7999378;2,147312756
Andorra;AND;2021;Female;55-64;5520;reported;16,27318624;18,73204549;2,458859246
Andorra;AND;2021;Female;65-74;3205;reported;37,25718383;43,44309136;6,185907532
Andorra;AND;2021;Female;75-84;1819;reported;76,95334987;87,25789384;10,30454397
Andorra;AND;2021;Female;>85;840;reported;138,621868;153,0284794;14,40661137
Andorra;AND;2021;Male;0-24;9812;reported;2,109529687;2,109529687;0
Andorra;AND;2021;Male;25-34;5308;reported;0,027112558;0,030555299;0,00344274
Andorra;AND;2021;Male;35-44;6412;reported;2,066417739;2,413964731;0,347546993
Andorra;AND;2021;Male;45-54;7339;reported;16,73027304;19,82920279;3,098929759
Andorra;AND;2021;Male;55-64;5943;reported;40,99681228;48,86436559;7,867553314
Andorra;AND;2021;Male;65-74;3384;reported;71,53278097;84,80965916;13,27687819
Andorra;AND;2021;Male;75-84;1614;reported;97,15883147;113,3243584;16,16552698
Andorra;AND;2021;Male;>85;500;reported;101,7923424;119,935909;18,14356662
United Arab Emirates;ARE;2020;Female;0-24;978854;reported;450,7647967;450,8292901;-0,247830955
United Arab Emirates;ARE;2020;Female;25-34;752682;reported;204,0642485;215,0812447;10,75083107
United Arab Emirates;ARE;2020;Female;35-44;627853;reported;416,6719044;457,1338345;40,19442484
United Arab Emirates;ARE;2020;Female;45-54;271096;reported;517,2364498;584,3438038;66,85178754
United Arab Emirates;ARE;2020;Female;55-64;107623;reported;583,8054393;654,5652979;70,49836913
United Arab Emirates;ARE;2020;Female;65-74;41517;reported;663,8991822;750,17579;86,0189872
United Arab Emirates;ARE;2020;Female;75-84;23370;reported;1429,855012;1598,404514;168,2635175
United Arab Emirates;ARE;2020;Female;>85;8327;reported;1418,639422;1563,866952;144,9200966
United Arab Emirates;ARE;2020;Male;0-24;1455022;reported;911,0515635;911,1819127;-0,247830955
United Arab Emirates;ARE;2020;Male;25-34;2080691;reported;1078,853373;1246,102203;167,0118282
United Arab Emirates;ARE;2020;Male;35-44;1787322;reported;1736,585561;2085,23106;348,4936264
United Arab Emirates;ARE;2020;Male;45-54;818482;reported;2360,280141;2838,551562;478,1583708
United Arab Emirates;ARE;2020;Male;55-64;254053;reported;2066,301936;2428,832799;362,3454959
United Arab Emirates;ARE;2020;Male;65-74;53246;reported;1207,050684;1402,436205;195,1579762
United Arab Emirates;ARE;2020;Male;75-84;20343;reported;1652,21689;1910,95787;258,512312
United Arab Emirates;ARE;2020;Male;>85;5837;reported;1208,215694;1406,305661;197,8649283
United Arab Emirates;ARE;2021;Female;0-24;983224;predicted;429,1258109;429,9503226;0
United Arab Emirates;ARE;2021;Female;25-34;711192;predicted;189,8871198;193,7967699;3,600379411
United Arab Emirates;ARE;2021;Female;35-44;666130;predicted;435,0215034;490,8860981;55,89146876
United Arab Emirates;ARE;2021;Female;45-54;298098;predicted;559,2218259;670,786349;112,2222564
United Arab Emirates;ARE;2021;Female;55-64;117428;predicted;630,309903;735,7432339;105,8562143
United Arab Emirates;ARE;2021;Female;65-74;45095;predicted;697,9633645;767,992833;69,76528212
United Arab Emirates;ARE;2021;Female;75-84;22255;predicted;1267,015443;1350,244856;82,06166465
United Arab Emirates;ARE;2021;Female;>85;9080;predicted;1498,68948;1848,977369;352,8548403
United Arab Emirates;ARE;2021;Male;0-24;1355109;predicted;835,9435051;837,5496662;0
United Arab Emirates;ARE;2021;Male;25-34;1999920;predicted;996,1148349;1023,747396;26,12185541
United Arab Emirates;ARE;2021;Male;35-44;1886964;predicted;1778,985145;2010,283009;231,4523525
United Arab Emirates;ARE;2021;Male;45-54;892133;predicted;2505,559765;2968,735977;465,548066
United Arab Emirates;ARE;2021;Male;55-64;290273;predicted;2204,702708;2521,345527;317,3045164
United Arab Emirates;ARE;2021;Male;65-74;61639;predicted;1288,156163;1427,585505;139,101413
United Arab Emirates;ARE;2021;Male;75-84;19245;predicted;1540,915534;1636,107236;93,67697815
United Arab Emirates;ARE;2021;Male;>85;6389;predicted;1221,814098;1416,176852;195,0255095
Argentina;ARG;2020;Female;0-24;8585155;reported;5056,263942;4263,265469;-793,3734726
Argentina;ARG;2020;Female;25-34;3349544;reported;2255,65978;2293,437081;37,40230099
Argentina;ARG;2020;Female;35-44;3102821;reported;4177,003221;4504,472789;327,094568
Argentina;ARG;2020;Female;45-54;2507712;reported;7406,345437;8203,054708;796,3342706
Argentina;ARG;2020;Female;55-64;2077170;reported;15363,98678;17347,90921;1983,547427
Argentina;ARG;2020;Female;65-74;1653949;reported;28558,16303;31780,05864;3221,52061
Argentina;ARG;2020;Female;75-84;995835;reported;44323,98301;48333,07943;4008,721415
Argentina;ARG;2020;Female;>85;428707;reported;60707,9463;62915,5909;2207,269599
Argentina;ARG;2020;Male;0-24;9040689;reported;8551,056316;7253,23166;-1298,199656
Argentina;ARG;2020;Male;25-34;3479329;reported;4658,417082;4721,965084;63,17300221
Argentina;ARG;2020;Male;35-44;3181653;reported;6321,469859;6780,602979;458,7581198
Argentina;ARG;2020;Male;45-54;2477979;reported;11366,73576;13271,63501;1904,524246
Argentina;ARG;2020;Male;55-64;1952401;reported;24596,68033;29111,19245;4514,137129
Argentina;ARG;2020;Male;65-74;1364913;reported;42313,36808;50154,21986;7840,476781
Argentina;ARG;2020;Male;75-84;630120;reported;44920,53365;51940,0788;7019,170149
Argentina;ARG;2020;Male;>85;157128;reported;30809,42961;34360,20594;3550,401331
Argentina;ARG;2021;Female;0-24;8543713;reported;4887,656959;4887,656959;-1,9375
Argentina;ARG;2021;Female;25-34;3373761;reported;2303,520574;2904,255115;598,7970404
Argentina;ARG;2021;Female;35-44;3123857;reported;4220,978199;5480,027764;1257,112064
Argentina;ARG;2021;Female;45-54;2568855;reported;7492,285378;9560,672538;2066,44966
Argentina;ARG;2021;Female;55-64;2091483;reported;15280,43697;19432,58869;4150,214222
Argentina;ARG;2021;Female;65-74;1673424;reported;28977,62659;37329,70339;8350,139296
Argentina;ARG;2021;Female;75-84;1015316;reported;44531,22963;55804,77987;11271,61275
Argentina;ARG;2021;Female;>85;433535;reported;60373,13964;73793,74673;13418,66959
Argentina;ARG;2021;Male;0-24;8997024;reported;8213,102122;8213,102122;-1,9375
Argentina;ARG;2021;Male;25-34;3505463;reported;4638,186279;5766,749393;1126,625615
Argentina;ARG;2021;Male;35-44;3205367;reported;6278,033457;8093,252269;1813,281312
Argentina;ARG;2021;Male;45-54;2545691;reported;11373,9153;14889,18538;3513,332587
Argentina;ARG;2021;Male;55-64;1968986;reported;24279,4307;31963,51887;7682,150679
Argentina;ARG;2021;Male;65-74;1381880;reported;42729,87229;55982,09494;13250,28516
Argentina;ARG;2021;Male;75-84;641925;reported;45119,50233;58162,19305;13040,75322
Argentina;ARG;2021;Male;>85;155868;reported;30692,16075;39977,47291;9283,374652
Armenia;ARM;2020;Female;0-24;434849;reported;190,6206321;189,85137;-1,956762159
Armenia;ARM;2020;Female;25-34;265817;reported;81,2342883;85,48281579;3,061027489
Armenia;ARM;2020;Female;35-44;212230;reported;150,3732648;209,7310946;58,17032974
Armenia;ARM;2020;Female;45-54;173162;reported;385,5683992;502,9570325;116,2011332
Armenia;ARM;2020;Female;55-64;225858;reported;1359,598515;1884,597892;523,8118772
Armenia;ARM;2020;Female;65-74;131721;reported;2318,293574;3129,068653;809,5875782
Armenia;ARM;2020;Female;75-84;68706;reported;4311,167549;5351,621863;1039,266814
Armenia;ARM;2020;Female;>85;25373;reported;3494,709938;4721,434593;1225,537155
Armenia;ARM;2020;Male;0-24;468585;reported;298,0246915;1504,895152;1205,682961
Armenia;ARM;2020;Male;25-34;230201;reported;215,9966016;763,3814248;546,1973232
Armenia;ARM;2020;Male;35-44;162035;reported;406,1979126;776,3032457;368,9178331
Armenia;ARM;2020;Male;45-54;123199;reported;985,082702;1208,687256;222,4170539
Armenia;ARM;2020;Male;55-64;161554;reported;2729,867213;3415,336687;684,281974
Armenia;ARM;2020;Male;65-74;84955;reported;3285,438881;4466,974118;1180,347738
Armenia;ARM;2020;Male;75-84;28634;reported;3230,20909;4536,553154;1305,156565
Armenia;ARM;2020;Male;>85;5886;reported;1826,013042;2624,123648;796,9231055
Armenia;ARM;2021;Female;0-24;430285;reported;175,5779863;175,9329909;-1,510647847
Armenia;ARM;2021;Female;25-34;256127;reported;76,89760321;94,61059647;16,13581804
Armenia;ARM;2021;Female;35-44;220626;reported;144,3880363;193,3626652;47,41868613
Armenia;ARM;2021;Female;45-54;169913;reported;360,2709029;524,3752228;162,692961
Armenia;ARM;2021;Female;55-64;223452;reported;1313,716027;1987,182758;672,6984505
Armenia;ARM;2021;Female;65-74;140658;reported;2394,033615;3634,738736;1240,615315
Armenia;ARM;2021;Female;75-84;64705;reported;3989,391465;5423,149021;1431,403804
Armenia;ARM;2021;Female;>85;26391;reported;3522,818429;4724,55087;1199,151308
Armenia;ARM;2021;Male;0-24;465006;reported;274,7382024;275,2937009;-1,510647847
Armenia;ARM;2021;Male;25-34;224284;reported;198,1548142;232,251709;32,35631248
Armenia;ARM;2021;Male;35-44;169071;reported;407,3275314;536,2047575;127,1917658
Armenia;ARM;2021;Male;45-54;120796;reported;948,2529596;1346,710616;397,0387503
Armenia;ARM;2021;Male;55-64;155692;reported;2633,343605;3775,353626;1140,93387
Armenia;ARM;2021;Male;65-74;88943;reported;3419,868318;4980,943983;1560,524321
Armenia;ARM;2021;Male;75-84;26398;reported;2957,123541;4147,720017;1189,10851
Armenia;ARM;2021;Male;>85;5868;reported;1881,996583;2585,618729;701,8518056
Antigua and Barbuda;ATG;2020;Female;0-24;15537;reported;3,653874601;3,653874601;-0,0625
Antigua and Barbuda;ATG;2020;Female;25-34;7365;reported;0,034042836;0,028432045;-0,06811079
Antigua and Barbuda;ATG;2020;Female;35-44;6948;reported;7,137457855;6,245800857;-0,954156998
Antigua and Barbuda;ATG;2020;Female;45-54;7318;reported;19,48616305;17,42001325;-2,1286498
Antigua and Barbuda;ATG;2020;Female;55-64;5945;reported;46,4043895;41,14738262;-5,319506883
Antigua and Barbuda;ATG;2020;Female;65-74;3279;reported;64,37823385;57,51538624;-6,925347604
Antigua and Barbuda;ATG;2020;Female;75-84;1462;reported;76,82499176;67,9597722;-8,927719557
Antigua and Barbuda;ATG;2020;Female;>85;527;reported;86,07492544;74,18581912;-11,95160632
Antigua and Barbuda;ATG;2020;Male;0-24;15945;reported;8,806226522;8,806226522;-0,0625
Antigua and Barbuda;ATG;2020;Male;25-34;7120;reported;11,50478466;10,5352524;-1,032032257
Antigua and Barbuda;ATG;2020;Male;35-44;6365;reported;11,52442665;10,94932975;-0,637596901
Antigua and Barbuda;ATG;2020;Male;45-54;6177;reported;26,75946511;25,41554491;-1,406420201
Antigua and Barbuda;ATG;2020;Male;55-64;4857;reported;68,05757437;63,10595613;-5,01411824
Antigua and Barbuda;ATG;2020;Male;65-74;2539;reported;82,70926434;75,84050767;-6,931256679
Antigua and Barbuda;ATG;2020;Male;75-84;979;reported;72,86875994;66,55779679;-6,373463148
Antigua and Barbuda;ATG;2020;Male;>85;232;reported;48,46115838;44,63290489;-3,89075349
Antigua and Barbuda;ATG;2021;Female;0-24;15331;reported;3,822262985;3,822262985;0
Antigua and Barbuda;ATG;2021;Female;25-34;7377;reported;0,046211284;0,04067727;-0,005534013
Antigua and Barbuda;ATG;2021;Female;35-44;6971;reported;7,080408258;6,996811533;-0,083596725
Antigua and Barbuda;ATG;2021;Female;45-54;7272;reported;19,26025383;19,97699382;0,716739993
Antigua and Barbuda;ATG;2021;Female;55-64;6201;reported;48,06485274;48,36744035;0,302587613
Antigua and Barbuda;ATG;2021;Female;65-74;3427;reported;68,14950269;64,66021724;-3,489285459
Antigua and Barbuda;ATG;2021;Female;75-84;1536;reported;80,39196287;73,96273439;-6,429228477
Antigua and Barbuda;ATG;2021;Female;>85;549;reported;88,52638013;99,28365946;10,75727933
Antigua and Barbuda;ATG;2021;Male;0-24;15746;reported;8,817178271;8,817178271;0
Antigua and Barbuda;ATG;2021;Male;25-34;7197;reported;11,61941041;10,28701943;-1,332390975
Antigua and Barbuda;ATG;2021;Male;35-44;6422;reported;11,64299567;11,34237367;-0,300621998
Antigua and Barbuda;ATG;2021;Male;45-54;6145;reported;26,56782184;27,19151852;0,623696671
Antigua and Barbuda;ATG;2021;Male;55-64;5056;reported;70,74648541;69,5741377;-1,172347711
Antigua and Barbuda;ATG;2021;Male;65-74;2660;reported;87,09354828;83,22583914;-3,867709138
Antigua and Barbuda;ATG;2021;Male;75-84;1027;reported;75,87291287;69,75058312;-6,122329756
Antigua and Barbuda;ATG;2021;Male;>85;238;reported;50,07622717;51,7005531;1,624325932
Australia;AUS;2020;Female;0-24;3880937;reported;913,4100613;904,4112154;-9,748845919
Australia;AUS;2020;Female;25-34;1930666;reported;591,7643144;617,2738353;24,75952097
Australia;AUS;2020;Female;35-44;1743938;reported;1259,867823;1172,520154;-88,09766928
Australia;AUS;2020;Female;45-54;1648322;reported;2656,125475;2669,304158;12,42868322
Australia;AUS;2020;Female;55-64;1514912;reported;5420,67366;5434,610905;13,18724484
Australia;AUS;2020;Female;65-74;1201096;reported;10435,29257;10302,98061;-133,0619533
Australia;AUS;2020;Female;75-84;688352;reported;19045,90049;18532,9516;-513,6988964
Australia;AUS;2020;Female;>85;296290;reported;39581,25028;37772,21653;-1809,783749
Australia;AUS;2020;Male;0-24;4089137;reported;1606,856856;1571,717246;-35,8896102
Australia;AUS;2020;Male;25-34;1933100;reported;1395,632397;1405,623563;9,241166742
Australia;AUS;2020;Male;35-44;1722486;reported;2226,909928;2084,924916;-142,7350128
Australia;AUS;2020;Male;45-54;1591007;reported;4301,628948;4252,076308;-50,30263977
Australia;AUS;2020;Male;55-64;1448370;reported;8939,681074;8766,20887;-174,2222037
Australia;AUS;2020;Male;65-74;1138948;reported;16223,1275;16080,68372;-143,1937798
Australia;AUS;2020;Male;75-84;609164;reported;24199,43626;23737,4004;-462,7858651
Australia;AUS;2020;Male;>85;188945;reported;26996,66171;27334,09597;336,684259
Australia;AUS;2021;Female;0-24;3870251;reported;878,6445476;735,8855521;-143,1964956
Australia;AUS;2021;Female;25-34;1935691;reported;585,1704827;308,241097;-277,3668858
Australia;AUS;2021;Female;35-44;1784834;reported;1279,526698;864,8959051;-415,0682926
Australia;AUS;2021;Female;45-54;1656634;reported;2653,531837;2413,904962;-240,0643751
Australia;AUS;2021;Female;55-64;1526713;reported;5416,888038;6437,946962;1020,621425
Australia;AUS;2021;Female;65-74;1229426;reported;10454,50761;10995,30961;540,364504
Australia;AUS;2021;Female;75-84;720095;reported;19421,0036;19801,21643;379,775336
Australia;AUS;2021;Female;>85;302303;reported;39757,87766;40732,34984;974,034682
Australia;AUS;2021;Male;0-24;4076704;reported;1556,393031;1087,336979;-469,4935516
